,info,Tal1,Dmbx1,Emx2,Uncx,Paxip1,Ctnnb1,Prdm1,Rybp,Nfkb2,Tfdp2,Grhl1,Sp8,Irf2,Zfp287,Esr2,Zfp128,Vav1,Sp1,Ppargc1b,Sp7,Pin1,Nfya,Vsx1,Klf1,Vsx2,Mybl1,Mybl2,Rnf2,Blzf1,Topors,Nr3c2,Nfia,Taf6l,Nr4a3,Hoxd12,Hoxd13,Ttf1,Sox9,Nr2e1,Polr2b,Hltf,Sox6,Pbx3,Sox5,Foxa1,Cdc5l,Cebpg,Ciita,Rest,Ets1,Mafk,Tbx15,Scml2,Myb,Clock,Rbpj,Foxc1,Zfp422,Pias3,Runx1,Ppara,Relb,Vdr,Cdc6,Arid3a,Lhx1,Hoxb8,Hoxb9,Hic1,Lhx6,Six4,Hoxb3,Zfp263,Cbfa2t3,Ehf,Nhlh1,Gata6,Gata4,Gata5,Lpp,Nfe2l3,Nfe2l2,Tmf1,Gli1,Tbx2,En1,En2,Hnf1a,Tbx4,Zfp423,Elf1,Foxb1,Elf2,Elf4,Mxd1,Wt1,Rfx4,Bhlhe41,Sox13,Taf4b,Rfx2,Sox17,Ahr,Sall4,Med14,Smyd1,Sall3,Arid2,Zfp64,Pgr,Trps1,Hoxa1,Bach2,Bach1,Notch3,Pknox1,Pknox2,Sin3a,Etv3,Smad9,Smad5,Alx1,Egf,Mn1,Nkx3-1,Rbak,Gabpa,Nfkbiz,Zscan21,Trp73,E2f7,Esrrg,Rbpjl,Nfatc4,Nr5a1,Neurod4,Esrrb,Tbx21,Rorc,Mitf,Pax7,Pax6,Pax1,Pax3,Pax2,Pax9,Zkscan17,Gfi1,Mzf1,Runx3,Smarca4,Foxd4,Foxd3,Creb1,Srebf1,Sox11,Gmeb2,Irx4,Pou3f2,Ikzf1,Tcf23,Mtf2,Npas3,Nfatc3,Nfil3,Phox2b,Plag1,E2f2,Ddx3x,Taf2,Pou4f1,Trim33,Tsc2,Lmx1a,Nr2f2,Eomes,Wwtr1,Foxo1,Ar,Zfp354a,Elk4,Foxo4,Sall1,Mycn,Maml3,Foxp3,Atm,Uaca,Tbr1,Pml,Lhx3,Atr,Zbtb33,Ptch1,Lhx5,Barhl1,Irx5,Tfap2b,Tfap2e,Rxra,Rxrb,Gli2,Gli3,Zic4,Zic5,Zic2,Zic3,Satb1,Onecut2,Foxn4,Mnat1,Foxn1,Dlx2,Vezf1,sncg,sst,th,vip,xdh,slc17a8,slc5a7,slc6a3,slc6a8,smad3,opalin,pdgfra,palvb,reln,slc17a7,lyve,mfge8,mog,myl14,ndnf,ctss,foxj1,gad1,htr3a,igtp,acta2,alldh1l1,camk2,chat,cldn5,ngef,tiam1,slc1a2,gja1,fbll1
22,390x582,13,30,17,20,29,108,25,34,16,26,15,20,27,16,20,15,6,30,29,25,31,37,16,22,20,16,27,22,32,12,47,36,7,32,21,22,14,11,18,29,6,37,39,35,19,22,29,21,15,19,40,7,16,21,48,34,12,14,33,28,9,32,22,14,12,19,31,17,36,19,12,29,16,29,18,24,10,8,9,24,14,21,44,10,8,20,26,5,14,43,9,22,20,39,17,14,25,20,13,16,19,11,37,22,23,13,21,25,10,28,17,19,26,19,36,15,28,40,45,30,20,13,6,17,20,21,12,10,42,10,26,26,25,30,12,13,6,19,8,22,26,19,14,8,13,49,13,21,21,24,50,19,17,19,7,52,14,23,11,17,25,26,6,25,11,27,17,9,24,50,16,33,11,39,15,24,40,22,28,15,30,10,23,20,21,41,29,24,23,12,27,14,42,32,30,24,34,21,18,39,29,19,16,38,19,15,27,19,14,19,13,20,7,24,59,11,74,32,50,23,46,49,33,68,14,60,61,38,103,18,26,28,41,50,16,67,20,54,37,26,62,47,57,30,14,26,31,12,40
23,646x636,37,17,14,37,107,76,22,70,26,33,55,44,40,43,27,28,31,25,30,34,43,31,47,22,35,11,15,15,33,30,63,52,34,72,37,27,43,14,43,51,20,46,27,40,28,42,48,20,28,19,52,54,50,32,34,42,44,33,23,21,11,43,30,37,26,34,39,41,37,24,46,19,38,41,43,28,33,20,24,18,30,23,17,26,37,38,20,18,20,32,6,13,40,25,47,34,17,30,19,24,25,41,38,23,51,14,24,36,42,22,16,21,42,43,26,44,26,49,33,42,60,41,30,23,29,36,42,39,56,33,19,32,23,32,22,23,11,23,19,32,18,17,30,44,40,40,28,25,29,36,107,51,46,36,19,58,15,30,56,23,38,15,24,39,34,53,59,29,76,37,15,60,53,10,26,45,20,40,37,47,57,16,21,23,23,25,60,19,30,37,27,26,53,30,42,37,24,28,29,34,20,21,52,17,14,32,40,36,64,25,32,22,38,39,106,21,122,39,88,32,76,74,41,81,35,90,72,62,129,29,53,49,65,61,25,83,36,66,53,51,72,83,84,34,37,52,53,8,56
24,614x704,16,12,18,5,20,34,5,36,2,11,27,4,15,6,8,16,29,14,13,17,9,17,12,9,32,3,26,19,10,4,22,9,12,11,5,7,13,26,13,7,12,32,18,7,8,0,13,0,12,27,9,9,17,24,22,31,26,11,16,8,25,26,14,10,12,12,18,9,31,3,9,14,1,30,15,9,18,14,14,22,23,17,38,3,8,22,12,12,0,18,10,4,16,22,17,5,16,10,13,20,10,24,2,8,20,7,24,12,18,10,8,16,20,24,14,14,4,0,17,22,9,6,12,20,14,13,19,8,14,10,17,14,19,15,8,20,9,1,17,7,1,13,8,12,5,18,23,29,13,14,18,15,15,14,14,19,11,17,21,5,22,4,12,29,20,15,10,7,33,22,20,17,8,7,9,17,6,37,11,15,14,18,11,9,20,11,18,3,10,3,12,6,3,16,15,7,21,8,12,19,19,12,10,21,10,34,39,23,12,26,21,15,21,12,27,4,39,9,12,8,34,16,11,30,9,35,28,14,26,10,26,15,28,25,14,37,17,36,17,16,27,47,33,55,12,23,39,12,22
25,546x766,9,11,17,8,14,51,4,13,10,11,9,7,4,15,10,15,6,12,7,18,14,8,0,20,4,4,5,10,21,1,11,10,2,15,6,7,14,9,2,10,5,5,10,10,6,10,3,7,6,18,9,12,5,20,11,18,8,18,7,15,4,15,5,8,16,8,9,7,23,0,9,15,10,8,16,6,8,10,19,6,4,17,1,12,8,24,17,17,8,8,11,8,20,6,14,4,9,5,4,13,0,11,10,33,24,26,2,13,7,11,0,1,20,15,8,22,9,11,7,20,6,10,13,5,10,3,6,0,26,0,9,0,13,24,5,2,14,2,5,10,16,14,10,0,6,17,7,18,15,29,18,11,7,22,5,11,9,13,10,13,13,0,30,9,25,4,14,17,17,9,8,8,4,17,9,5,11,5,10,9,0,8,11,8,24,9,3,6,1,5,13,10,2,23,11,7,15,4,9,18,16,8,9,10,7,9,14,6,9,7,8,17,0,19,9,5,24,13,18,13,20,20,6,23,14,21,18,12,27,15,5,12,20,17,18,25,11,9,10,3,14,21,22,14,4,12,30,3,18
27,360x588,18,9,20,9,12,46,17,13,10,12,16,3,9,9,4,11,7,22,4,11,4,28,13,9,15,7,5,14,10,3,19,15,9,25,8,6,7,12,8,22,3,42,9,34,9,9,6,0,2,6,18,6,16,11,17,10,5,9,17,15,9,8,24,8,10,10,4,13,7,3,7,15,7,16,18,7,21,12,14,11,10,4,6,8,7,12,15,5,10,8,8,4,16,13,13,1,11,19,3,15,14,7,24,8,14,8,11,5,12,0,9,9,5,19,21,8,1,24,6,9,10,18,5,9,3,7,39,7,16,7,8,4,6,11,11,0,6,16,4,6,9,21,6,16,4,6,14,11,20,7,21,10,3,4,8,10,1,18,4,5,5,6,3,5,7,12,2,12,11,9,4,11,9,11,2,2,11,4,9,21,11,7,20,5,19,23,13,5,6,17,6,4,17,16,3,11,13,16,22,15,4,5,19,8,15,12,15,13,18,19,9,13,4,22,24,3,31,14,25,5,29,12,12,33,5,42,18,21,46,10,17,20,12,15,7,27,10,21,16,22,21,18,24,17,4,23,6,4,8
30,710x420,8,14,11,26,22,58,18,16,7,9,14,18,20,13,10,14,8,14,20,23,6,24,15,22,14,2,19,9,26,10,25,17,13,47,8,13,6,18,13,10,8,25,13,23,2,16,30,1,7,19,28,8,10,7,26,7,18,7,12,11,18,7,16,14,13,11,21,11,20,7,22,23,29,34,22,15,13,4,16,17,34,8,20,18,11,14,10,5,12,16,15,10,13,7,11,8,15,21,11,28,13,11,18,11,7,10,26,21,11,9,10,7,5,10,17,23,5,12,6,21,11,19,8,8,8,15,25,2,37,20,14,14,7,15,2,18,18,22,8,10,5,13,19,8,14,8,6,33,9,20,21,17,4,19,11,24,24,7,7,20,10,9,8,11,15,17,17,20,20,12,16,26,20,30,10,9,23,24,18,7,9,21,15,21,29,19,10,11,14,4,26,11,15,13,20,15,19,26,10,35,13,13,13,10,34,25,13,5,14,24,9,22,13,15,43,7,32,13,36,17,24,22,13,16,9,33,27,15,63,21,19,27,40,20,20,38,16,25,18,27,23,31,31,5,16,23,38,6,23
32,780x342,18,23,38,26,43,79,13,46,20,26,30,33,17,20,9,26,10,4,23,42,18,27,21,28,25,21,17,39,38,20,62,28,10,26,14,26,36,10,30,43,25,30,29,24,28,8,35,15,11,24,29,32,17,27,33,38,10,15,40,9,28,36,15,19,41,15,20,34,35,5,50,37,32,45,39,13,25,16,19,12,15,38,16,23,41,28,15,19,10,35,13,22,10,7,27,12,23,15,21,17,28,25,22,10,13,13,20,21,19,12,28,25,35,8,21,43,22,10,20,29,27,21,18,30,12,40,31,17,29,11,15,15,42,13,26,18,6,24,1,19,19,33,22,30,32,17,25,29,19,28,66,11,13,33,16,30,13,20,33,15,38,27,42,20,15,10,28,31,30,16,21,32,38,11,8,9,39,6,26,58,32,28,19,20,17,9,37,31,12,13,19,9,44,41,25,21,19,14,16,29,7,8,20,34,38,26,29,19,23,26,28,10,24,54,60,11,87,19,58,25,46,41,28,55,16,64,57,40,115,26,26,32,60,42,23,59,27,62,32,36,49,61,48,24,25,33,34,8,39
33,542x424,22,15,11,14,27,61,19,26,22,22,20,34,18,19,17,6,7,10,20,19,13,26,8,20,18,6,6,17,30,6,23,24,6,17,12,11,11,8,31,23,12,13,14,21,13,16,14,0,26,21,26,17,14,13,27,16,14,14,22,6,20,11,24,18,13,4,22,42,16,17,16,31,10,33,20,13,8,21,19,6,16,16,9,11,3,10,11,4,22,17,3,2,20,17,22,10,12,19,11,13,24,19,25,23,23,2,2,17,7,13,13,28,13,12,23,10,9,21,10,30,8,20,13,15,18,24,18,10,25,15,35,15,20,25,14,9,3,9,5,30,11,16,13,19,6,12,12,26,15,8,9,10,2,31,2,9,7,9,13,38,17,14,11,34,12,18,11,9,21,23,30,30,17,19,5,4,11,7,16,8,12,13,28,15,15,6,15,22,8,11,16,13,7,14,21,21,7,19,17,28,10,10,9,17,10,4,21,22,12,8,18,10,11,22,31,7,40,10,30,13,26,30,13,31,16,39,32,20,51,13,20,31,27,17,27,37,21,36,27,29,30,39,40,12,22,19,36,8,24
36,554x714,11,4,11,0,14,55,8,20,7,34,6,4,7,18,29,7,3,7,4,15,7,9,18,11,9,4,4,1,11,3,25,15,4,7,4,2,4,13,15,11,14,16,13,14,10,12,20,10,7,9,8,10,2,18,8,10,5,14,14,19,0,15,8,20,15,5,16,8,15,7,16,20,6,11,8,6,12,13,10,9,11,3,4,6,4,17,8,1,6,11,6,13,10,17,7,12,16,13,3,10,13,8,11,7,6,3,15,13,18,7,8,18,10,13,11,10,6,22,8,17,5,10,10,12,16,7,17,13,20,4,14,3,8,8,4,10,9,1,0,12,1,15,7,1,11,20,7,20,28,22,12,12,11,19,17,10,7,2,7,8,10,8,2,14,10,19,25,5,5,14,7,14,8,6,5,10,19,3,3,13,7,7,6,13,8,18,23,12,10,2,9,12,8,18,24,7,28,7,13,13,16,14,4,13,19,11,22,9,10,17,34,13,12,14,15,6,26,6,22,13,22,18,10,24,9,24,18,12,19,19,17,9,23,19,16,15,13,25,18,10,17,30,27,38,7,20,29,13,10
38,466x564,33,12,32,26,35,135,20,70,15,51,43,41,24,28,28,34,21,30,35,14,20,32,40,20,40,25,9,13,48,19,44,20,11,37,26,11,19,15,19,23,16,48,20,33,11,21,42,14,20,19,26,16,24,22,30,43,11,22,16,18,18,18,34,20,10,29,31,21,35,19,31,41,37,39,29,25,22,27,31,22,27,12,43,10,7,32,16,19,20,25,28,22,31,20,28,28,19,20,11,22,27,16,30,30,27,21,33,28,26,17,10,31,27,17,8,31,24,39,33,44,20,27,17,53,26,19,45,33,43,42,29,35,28,35,12,33,22,22,14,15,21,21,17,39,19,25,30,32,41,25,53,11,15,31,10,27,4,19,42,19,16,13,19,36,14,32,38,28,39,50,9,35,49,20,27,26,50,23,37,48,29,16,23,31,28,35,48,12,38,13,15,19,22,38,26,24,32,16,20,29,24,5,12,15,19,38,24,32,8,34,36,16,22,42,68,9,73,21,67,25,70,36,31,58,19,51,41,48,127,26,33,41,58,38,31,73,35,47,45,44,53,68,53,16,20,41,26,7,34
40,468x476,11,0,11,12,17,67,14,35,16,9,19,17,14,11,32,28,11,13,2,12,19,4,3,9,34,9,18,8,30,13,46,12,9,33,11,4,16,24,14,16,10,44,9,28,8,18,12,4,11,23,8,25,26,20,19,34,18,7,9,10,11,16,19,21,11,7,13,9,21,11,15,20,21,42,12,17,15,3,14,13,29,7,9,21,18,23,12,10,9,40,12,13,16,3,30,17,19,18,7,26,10,25,11,17,17,13,26,23,23,11,24,17,16,18,15,25,30,32,19,25,15,9,9,15,17,22,21,23,51,21,11,17,19,21,17,8,11,24,8,9,10,16,7,20,10,10,20,27,37,13,21,18,5,18,9,16,6,9,26,13,12,16,20,26,10,11,9,18,10,19,19,17,20,11,18,28,20,15,31,21,19,14,12,21,23,21,25,20,13,17,18,14,26,23,34,1,21,9,23,28,2,19,21,5,22,36,22,12,22,10,6,14,14,36,34,8,47,17,37,18,44,26,14,28,28,61,30,17,64,13,22,19,32,20,17,32,15,44,22,24,32,53,51,24,10,24,41,5,33
41,430x484,46,16,15,19,43,127,21,57,30,41,45,22,16,36,9,33,20,8,23,39,30,44,29,16,32,32,17,25,38,33,59,64,13,48,34,16,39,18,18,25,24,31,20,89,22,12,21,20,12,42,35,25,27,32,44,37,13,28,38,24,27,30,17,30,35,27,39,36,54,11,28,28,31,59,47,7,35,27,37,40,28,22,19,18,12,44,31,25,41,38,19,22,21,16,20,19,33,24,15,21,20,20,33,20,39,37,27,20,26,24,20,11,28,17,22,18,19,50,31,26,27,31,17,50,28,22,22,15,57,32,28,34,23,28,21,27,27,22,23,18,28,35,13,36,19,23,17,38,30,16,59,31,11,21,27,24,11,16,41,38,25,11,36,19,8,28,52,31,31,43,19,31,38,21,27,25,40,17,44,44,33,10,23,37,28,41,31,22,25,27,32,13,28,39,32,23,55,25,24,39,25,30,29,50,22,60,22,26,44,25,29,42,21,39,75,16,85,30,46,31,60,50,37,94,15,63,76,50,138,38,30,38,53,57,17,74,30,64,43,38,65,77,78,20,20,35,49,16,52
